No;Abstract;
21;Kebutuhan jasa ekspor impor semakin meningkat, jumlah perusahaan ekspor impor semakin luas, dan akhirnya menyebabkan persaingan antara perusahaan ekspedisi menjadi semakin berat. Berdasarkan alasan tersebut saya membuat system informasi Data importer di ITPC Busan.Sistem Informasi Data importir merupakan sistem informasi yang dikembangkan untuk memenuhi kebutuhan akan adanya pusat basis data untuk menampung datadata importir. Dan ITPC Busan adalah lembaga perwakilan Kementerian Perdagangan Republik Indonesia yang merupakan lembaga nonprofit yang berada dibawah Direktorat Jenderal Pengembangan Ekspor Nasional yang berkantor di Kota Busan, Korea Selatan. Tugas pokok ITPC ?? Busan sendiri adalah untuk menjembatani relasi antara eksportir Indonesia dengan Importir Korea Selatan.tetapi dalam pelaksanaan tugasnya tersebut dan sebagai ujung tombak ekspor nasional, ITPC Busan mempunyai beberapa kendala teknis sehingga dibutuhkan beberapa pengembangan dari sisi media sebagai sarana promosi dunia perdagangan Indonesia.Dengan adanya Sistem Informasi Data Importir ini, diharapkan akan meningkatkan kualitas kerja dan mempermudah proses pengenalan dan promosi perdagangan Indonesia. Selain itu juga tujuan dibuatnya website ini untuk meningkatkan daya jual exporter Indonesia untuk merambah pasar Internasional khususnya di Negara Korea Selatan tepatnya di Busan.;
22;CV.Panca Karya perusahan yang bergerak di bidang peternakan sapi pedaging di daerah Subang. setiap proses pencatatan data - data di peternakan ini tidak terlepas dari proses Systems yang manual, seperti pencatatan data persediaan barang, obat-obatan, pakan, transaksi seperti pembelian barang ke supplier dan penjualan ke konsumen, serta pemasaran. penelitian ini adalah untuk memberikan kemudahan kepada peternakan saat proses pengolahan data, baik itu pngolahan data persediaan barang, trsaksi dan pemasaran. Metode penelitian yang digunakan dalam penelitian adalah MetodeDeskriptif dan Metode Action. Sedangkan metode pengembangannya menggunakan model prototype. Cara pengumpulan data yang dignakan adalah data primer dan sekunder. Alat bantu analisis yang digunakan yaitu OOP dan UML. Bentuk Information Systems ini berbasis website dan menggunakan bahasa pemrograman PHP, dan juga memakai database MYSQL Server sebagai bentuk penanganan data.;
23;Saat ini futsal sudah menjadi olahraga populer yang di gemari oleh kaum laki-laki baik itu anak-anak, remaja, bahkan dewasa. Sama seperti sepak bola futsal adalah olah raga yang dimana seitap pemain nya menggunakan bola,lapangan dan gawang sebagai sarana nya, namun yang sedikit berbeda adalah ukuran lapangan dan jumlah pemainya. Jika sepak bola memainkan 11 pemain dalam 1 tim, futsal hanya memainkan 5 atau 6 pemain dan ukuran lapangan dan gawangnya pun lebih kecil dari ukuran lapangan dan gawang sepak bola. Dan untuk saat ini teknologi teknologi juga berkembang sangat pesat terutama di bidang jaringaninternet. Internet telah menjadi kebutuhan pokok di sebagian kalangan masyarakat baik itu di daerah atau di perkotaan. Internet sangat membantu manusia entah itu untuk bekerja,berkomunikasi dan lain-lain. Dalam penelitian ini penulis ingin membuat suatu perancangan sistem informasi dalam pemesanan lapangan futsal berbasis website online, yang dimana dalam setiap proses transaksi bisnis nya dapat memanfaatkan teknologi yang ada saat ini yaitu internet.;
24;Pesatnya perkembangan teknologi sangat mempengaruhi kehidupan masyarakat, terutama bagi kemajuan sebuah perusahaan salah satunya hotel scarlet dago bandun,Penelitian ini dilakukan untuk dapat membuat suatu sistem informasi reservasi hotel dan memuat segala informasi seputar tentang hotel scarlet dago seperti promo, agenda dan Fasilitas yang ada secara online yang nantinya apabila penelitian ini sukses dan bisa membantu memasarkan jasa pelayanan hotel kepada masyarakat luas dan juga mempermudah bagi semua orang atau kelompok organisasi dalam memperoleh informasi fasilitas-fasilitas harga dan segala infomrasi seputar Hotel Scarlet dago bandung dengan mengunjungi website Scarlet Hotel Dago. Pada penelitian ini sudah dikembangkan Sistem Informasi Reservasi berbasis website, Dimana dalam pengembangan system ini ada beberapa alat bantu pengembangan sistem yang telah digunakan seperti Skenario use case, Diagram Use Case, Diagram activity, Diagram Sequence dan yang terakhir Objek Diagram. serta bahasa pemprograman yang digunakan PHP, dan MySQL sebagai databasenya, metode pendekatan Objek, metode pengembangan prototype. Berdasarkan penjelasan di atas, Memungkinkan untuk membantu meminimalkan kesalahan yang mungkin terjadi.;
25;Pada umumnya proses jual beli sangat banyak di jumpai dengan mengunakan cara lama, konvensional atau pun bisa dibilang masih manual, sedangkan proses seperti itu akan sangat memakan waktu dan bisa di bayangkan akan ada banyak antrian dan dampak terburuknya ialah banyaknya pelanggan yang pulang karena antrian yang sangat-sangat banyak dan juga panjang, selain itu pegawai yang menjalankan proses penjualan dan menata stock barang pun akan banyak memakan waktu, inilah yang membuat Toko Mas Yadi membutuhkan sesuatu yang baru untuk di terapkan dalam proses jual beli dalam aktivitas sehari-harinya hal ini dimaksud untuk mempercepat dan mengurangi antrian dalam hal pelayanan transaksi.Metode yang akan digunakan untuk meneliti permasalahan dalam toko ini ialah deskriptif, metode yang digunakan untuk mengumpulkan data yang ada pada toko menggunakan metode observasi, lalu untuk pendekatan system akan menggunakan pendekatan objek.Dan untuk hasil yang sangat diharapkan ialah untuk didapatnya suatu aplikasi untuk menunjang penjualan, yang dapat mengetahui jumlah barang, pencatatan kredit pelanggan maupun pencatatan data retur barang.;
26;HRIS (Human Resources Information System) adalah bagian yang tak terpisahkan bagi setiap perusahaan modern. Dengan pertimbangan dapat melakukan proses - proses bisnis pada bagian HR (Human Resources) dengan lebih efektif dan efisien baik dibidang absensi, penggajian, pangkalan data pegawai dan pengajuan keperluan bekerja lainnya menjadikan peningkantan HRIS (Human Resources Information System) yang sudah ada tak terelakan. Peningkatan HRIS pada PT. Lussa Teknologi Global sangat diperlukan karena sebagai perusahaan teknologi sudah seyogyanya memiliki platform untuk melakukan hal - hal yang bersifat repetitive agar perusahaan dapat fokus mengembangkan hal lain yang lebih bermanfaat. Desain penelitian ini menggunakan metode deskriptif dan pengumpulan datanya adalah dengan melakukan wawacara dan observasi, metode pengembangan yang digunakan oleh penulis adalah UML (Unified Modeling Language) dan pengembangan perangkat lunak waterfall perangkat lunak yang digunakan dalam membangun aplikasi ini adalah menggunakan IDE(Integrated Development Environment) Visual Studio Code, Web Server menggunakan Apache, dan database menggunakan MySQL. Dengan dibangunnya HRIS ini dapat membantu proses absensi, penggajian, pangkalan data dan pengajuan keperluan bekerja lainnya. Sehingga perusahaan dapat memfokuskan sumber dayanya untuk mengembangkan hal lainnya yang lebih bermanfaat.;
27;Sistem informasi memiliki peranan penting dalam perusahaan maupun manajemen, karena di jaman sekarang teknologi semakin maju dan berkembang,sehingga perusahaan ataupun manajemen di harapkan mengikuti perkembangan teknologi yang ada. Sehingga akses informasi di suatu perusahaan atau manjemen tersebut akan lebih cepat, tepat dan akurat. Namun Dilihat dari sistem yang sedang berjalan di Koperasi Pusaka Jati belum memanfaatkan aplikasi teknologi informasi dalam pengolahan datanya, baik data anggota, data simpanan, data pinjaman dan data angsuran pembayaranya masih dilakukan secara manual dengan cara dituli tangan di buku besar, hal ini membuat koperasi sulit berkembang dikarenakan di jaman sekarang yang hampir segalanya sudah dilakukan secara komputerisasi.diharapkan dengan aplikasi ini dapat meningkatkan pelayanan dan kinerja koperasi pusaka Jati ke arah yang lebih baik lagi.Dalam pengembangan sistem di sistem informasi ini akan mempergunakan metode prototype dimana dalam pengumpulan data yang digunakan adalah wawancara dan observasi. Dan untuk alat bantu yang digunakan diantaranya menggunakan flowmap, Data flow diagram (DFD), Konteks diagram, kamus data, entity relationship diagram (ERD) dan normalisasi. Bahasa pemograman yang digunakan adalah PHP didukung dengan Apache sebagai webserver dan MySQL sebagai databasenya.Dengan dibangunnya sistem informasi Simpan pinjam di koperasi pusaka jati ini diharapkan dapat mempermudah pengelola koperasi dalam melakukan proses.Transaksi yang ada seperti simpanan, pinjaman dan angsuran anggota, selain itu sistem informasi di buat terkomputerisasi agar koperasi pusaka jati tidak ketinggalan jaman.;
28;Pertumbuhan jumlah pengguna kendaraan bermotor terutama dikota-kota besar menjadikan permintaan akan pelayanan dan perawatan kendaraan yang lebih baik semakin tinggi. Selain jasa perbaikan yang biasa diberikan bengkel-bengkel resmi, kebutuhan akan pencucian kendaraan bermotor juga semakin meningkat saat ini. Penelitian ini menguraikan tentang pembuatan Sistem Informasi pencucian kendaraan bermotor pada Babe carwash 420, sebuah jasa perawatan cuci mobil dan motor. Diimplementasikan pada sebuah website untuk kemudahan usaha, memudahkan interaksi dan komunikasi. Dalam penelitian ini pembuatan aplikai website menggunakan PHP dan MySQL secara sederhana dan menarik untuk dapat diikuti. Aplikasi dikhususkan untuk keringkasan, efektifitas dan efesiensi penggunaan, sehingga pengguna dapat mengguakan dengan baik dan cepat. Babe car wash 420 adalah perusahaan jasa yang berjalan sjak tahun 2012, yang berada di jl. Tanjungsari no. 420 kab. Sumedang. Di dalam bisnis ini Babe car wash 420 belum menggunakan sistem informasi untuk mengolah datanya. Babe car wash 420 masih menggunakan kertas untuk mencatat para pelanggan yang akan mencuci, dan proses pembayarannya setiap hari dengan ditulis.;
29;Kantor Desa Cicalengka Kulon merupakan suatu badan yang menangani segala kegiatan yang berkaitan dengan pelayanan masyarakat di Cicalenngka Kulon. Dengan berkembangnya teknologi yang semakin pesat, setiap perusahaan ingin memanfaatkan dengan baik peran teknologi informasi untuk meningkatkan kinerja perusahaan, begitu pula dengan Kantor Desa Cicalengka Kulon. Namun ternyata terdapat beberapa kendala terutama pada kegiatan kepegawaian seperti masalah penggajian, pendinasan dan mutasi yang masih bersifat konvensional. Oleh karena itu penulis merancang sistem informasi kepegawaian di Kantor Desa Cicalengka Kulon. Adapun pendekatan yang digunakan dalam penelitian adalah pendekatan terstruktur yang menggunakan beberapa alat bantu dan teknik pengerjaan, seperti flowmap, diagram konteks, dan Data Flow Diagram (DFD). Metode pendekatan sistem menggunakan metode berorientasi terstruktur sedangkan metode pengembangan menggunakan metode waterfall dengan teknik pengumpulan data observasi dan wawancara. Sistem Informasi ini dibuat dengan menggunakan bahaa pemrograman PHP dengan Framework CodeIgniter.Dengan diterapkannya sistem informasi kepegawaian di Kantor Desa Cicalengka Kulon diharapkan dapat mempermudah dalam mengelola seluruh data kepegawaian, dengan meminimalisir kesalahan dalam mengelola data kepegawaian. Sehingga Kantor Desa Cicalengka Kulon dapat meningkatkan kinerjanya dengan baik.;
30;Toko Remaja Teknik adalah perusahaan yang bergerak di bidang penjualan peralatan listrik dan layanan jasa elektronik, namun toko remaja teknik ini masih menggunakan metode manual atau tulisan dan belum terkomputerisasi sehingga sering terjadi kesalahan saat mencatat penjualan alat listrik, layanan service dan pembelian barang yang masih dalam bentuk arsip, maka masih ada catatan yang hilang atau lupa catatan di buku besar dan keamanan data kurang aman dan untuk persiapan periode laporan memakan waktu lama dan seringnya kesalahan penulisan dan perhitungannya kurang akurat. Oleh karena itu kegunaan penelitian ini untuk membantu proses jasa service, penjualan dan pembelian barang menjadi mudah dan membantu pengolahan data lebih cepat dan akurat. Setelah melihat permasalahan yang dihadapi oleh toko remaja teknik tersebut, metode penelitian yang digunakan dalam perancangan sistem informasi layanan elektronik adalah dengan menggunakan metode pengumpulan data yang dilakukan dengan cara Metode observasi, wawancara dan survei dan metode pengembangan sistem yang digunakan adalah metode prototype dan metode pendekatan dengan menggunakan Metode terstruktur yaitu sebagai bentuk FlowMap, Diagram Konteks, DFD, ERD dan Kamus Data, dan bahasa pemrograman yang digunakan untuk membuat alat aplikasi adalah PHP dan HTML, dan sebagai webserver menggunakan XAMPP dan MySQL sebagai databasenya. Kemudian dari permasalahan yang dihadapi oleh toko remaja teknik ini dapat disimpulkan Sistem Informasi Jasa Serivce Elektronik pada toko remaja teknik ini dapat memecahkan masalah dalam jasa service elektronik, penjualan dan pembelian barang dan dapat mempermudah transaksi dan membantu karyawan untuk bekerja lebih maksimal, tepat dan tepat.;
31;Kebutuhan akan keterampilan atau kecakapan dalam bahasa inggris di Garut yang berguna untuk me,mudahkan dalam mencari pekerjaan yang dilakukan di luar daerah merupakan suatu kesempatan bagi lembaga kursus dan pelatihan yang bergerak dalam bidang bimbingan belajar bahasa inggris. Dimana dalam kesempatan ini pihak lembaga harus meningkatkan kinerja khususnya dalam pemberian sebuah pembelajaran terhadap siswa yang akan mengikuti bimbingan belajar. Dengan dibangunnya suatu sistem informasi Bimbingan Belajar bahasa inggris berbasis Web maka akan mempermudah orang untuk mengikuti bimbingan belajar maupun pendaftaran bimbingan belajar secara online dengan mengakses aplikasi berbasis web dimanapun orang tersebut berada maka tidak harus datang secara langsung. Adapun pencatatan para bimbel secara manual adalah ketika calon siswa baru akan melakukan pendaftaran ,data siswa bimbingan belajar,pemilihan metode pembelajaran,pemilihan waktu bimbel,dan pada saat transaksi yang dilakukan . Dengan adanya kekurangan tersebut maka dibangunlah sebuah sistem yang mendukung kegiatan bimbel tersebut dimana sistem tersebut berjalan dengan terkomputerisasi yaitu ?Sistem Informasi Akademi Bimbingan Belajar Di ILC Garut?. Penggunaan metode penelitian adalah dengan metode deskriptif dengan melakukan pengumpulan data,metode pengembangan sistem waterfall, sedangkan untuk alat bantu analisa menggunakan usecase diagram,Activity diagram,sequence diagram,class diagram. Dalam pembuatan website nya menggunakan bahasa pemograman php dan menggunakan database MYSQL dengan programnya XAMPP.;
32;Kemping atau berkemah adalah kegiatan yang dilakukan di alam bebas dengan menginap didalam tenda. Banyak sekali para pencinta alam yang mempunyai hobi untuk camping atau hyking, camping atau hyking dapat dilakukan oleh banyak orang baik itu individu maupun organisasi, dalam melakukan camping atau hyking para individu atau organisasi banyak melakukan penyewaan terhadap peralatan yang mereka butuhkan. Pada toko Potong Kompas Camp merupakan toko yang bergerak di bidang jasa rental peralatan pegunungan yang berlokasi di jalan Gagak No.152 Sadang Serang, toko ini menyewakan berbagai macam peralatan seperti ransel, sepatu, tenda, selimut, senter dan lain sebagainya, namun dalam proses penyewaan mereka masih melakukan sistem secara manual yaitu seperti konsumen harus datang langsung ketoko untuk melakukan penyewaan. Pencatatan yang ada di toko potong compas camp juga masih manual yaitu mencatat alat ? alat camping yang terjual dan yang disewakan dengan menggunakan buku dan nota. Dalam hal tersebut maka akan terjadi penumpukan data, kehilangan data baik itu data ? data yang berkaitan dengan transaksi, human error, dan kesalahan ? kesalahan yang lainnya. Sehingga akan menimbulkan dan mengakibatkan kerugian yang sangat besar dan kurang efesien serta efektif dalam hal penyewaan. Dengan adanya sistem informasi penyewaan peralatan camping berbasis website pada potong kompas camp ini, diharapkan semua kegiatan dan proses yang ada di toko potong kompas dapat berjalan dengan cepat, tepat dan efisien. Dalam melakukan penelitian, metode yang digunakan adalah metode prototype agar penerapan dari sistem tersebut dapat menjadi lebih efektif dan efisien.;
33;Galunggung Camp merupakan perusahaan yang bergerak di bidang penjualan dan penyewaan alat Outdoor, yang dimana permasalahannya transaksi penyewaaan dicatat dengan melakukan penulisan di buku kwitansi, hal tersebut memiliki beberapa permasalahan diantaranya adalah memiliki resiko kehilangan dokumen, proses pencarian data yang membutuhkan waktu yang lamaa untuk mengetahui barang yang tersedia untuk disewakan dikarenakan tidak adanya pengkodean barang. Pada persediaan barang pada perusahaan ini dicatat ke buku persediaan barang. Dikarenakan kurang detailnya jumlah persediaan barang yang dicatat ke buku persediaan barang, maka sering terjadi toko kehabisan persediaan, hal ini mengakibatkan konsumen tidak terlayani dengan baik. Maka dari itu, dibutuhkan sistem informasi persedian dan penyewaan yang memadai untuk membantu melakukan transaksi dengan efisien. Metode pendekatan dalam penelitian ini menggunakan metode terstruktur. Dalam pengembangan sistem informasi yang ada pada Galunggung Camp digunakan metode protype. Aplikasi ini dibuat dengan menggunakan PHPMyAdmin untuk pembuatan database, dan aplikasi Sublime Text sebagai alat bantu pembuatan sistem informasi tersebut. Dengan adanya pembangunan persedian dan penyewaan pada Galunggung Camp ini diharapkan dapat membantu petugas dalam mengelola proses inventory dan mempermudah dalam mendapatkan informasi sesuai dengan kebutuhan.;
34;Pengolahan data akademik merupakan suatu kegiatan utama yang ada dalam Sistem Informasi Akademik SMA PGRI 1 Subang. Permasalahan yang terjadi diantaranya yaitu kegiatan pendaftaran siswa baru masih dilakukan terlebih dahulu datang ke sekolah untuk mengambil formulir sehingga dalam pengolahanya membutuhkan waktu yang lama sedangkan untuk data siswa, data guru serta data nilai masih diarsipkan di dalam aplikasi lembar kerja dan data-data tersebut belum saling terintegrasi sehingga lambat dalam pengelohannya dan memungkinkan terjadinya kehilangan data. Tujuan dari penelitian ini adalah untuk menghasilkan Sistem informasi akademik pada SMA PGRI 1 Subang untuk diimplementasikan serta diuji disekolah tersebut. Subyek penelitian adalah sistem informasi akademik di SMA PGRI 1 Subang berbasis website. Metode pengumpulan data dilakukan dengan observasi langsung ke instansi terkait, guna untuk menganalisis data yang dibutuhkan dan menghasilkan sebuah kesimpulan. Analisis dilakukan untuk menentukan spesifikasi sistem informasi yang ingin dibangun agar sesuai kebutuhan. Implementasi sistem memanfaatkan bahasa pemrograman PHP dan MySQL sebagai database-nya. Sistem yang dihasilkan diuji dengan metode Black Box Testing.;
35;Banyaknya permintaan pengiriman pada PT Juma Sejahtera Bersama mendorong PT ini untuk mengembangkan sistem yang sedang berjalan menjadi sistem yang lebih baik lagi untuk menunjang kinerja pada perusahaan. Sistem di perusahaan ini baik transaksi maupun pengelolaan masih bersifat manual. Sehingga memungkinkan terjadinya beberapa kendala seperti bagaimana pencatatan stock barang dan pembelian dilakukan. Pencatatan data yang masih manual menggunakan kertas, dapat memungkinkan kesalahan atau ketidakakuratan data. Selain itu, bagaimana data stock, pembelian masih menggunakan kertas, sehingga membutuhkan waktu lebih lama saat melakukan evaluasi data. Langkah - langkah atau metode - metode yang akan digunakan untuk mengembangan dan memperbaiki informasi sistem ini didasarkan pada pendekatan prototype, dimana pengguna dapat bersosialisasi dengan pengembang aplikasi yang diharapkan dapat menghasilkan program aplikasi yang memuaskan dan mempermudah segala kinerja yang ada. Alat perancangan yang penulis gunakan untuk merancang sistem ini yakni berupa diagram usecas, scenario usecase, activities, seequenced, classs, objek, componenrt, deployment. Dan juga bahasa yang dipakai adalah Bahasa php yang sudah menerapkan Object Oriented Programming. Adapun teknik ? teknik untuk pengumpulan data ? data ialah dilakukan dengan melakukan cara wawancara dan juga observasi langsung menuju tempat perusahaan. Dan juga hasil dari pembangunan sistem informasi inventory dan persediaan bahan baku pada PT. Juma Sejahtera Bersama diharapkan dapat membantu, transaksi, perhitungan stock, pembuatan laporan agar lebih efisien.;
